Story ID,Epic,Epic Name,Sprint,Title,Description,Acceptance Criteria,Story Points,Assigned Role,Status,Evidence / Notes
REG-1003,E13,"Production Integration, Security & Operations",Sprint 10,"Observability: metrics, logs and dashboards","Emit structured logs and service metrics (ingestion volume and errors, corpus freshness, tool latency and error rate, queue depth) into the platform's monitoring stack with an operations dashboard.",Golden signals visible per service; ingestion and corpus health tracked over time; logs correlatable by run and request identifier,5,Full-stack Engineer,Not Started,Run manifests and counters already provide the data
REG-1004,E13,"Production Integration, Security & Operations",Sprint 10,Alerting and operational runbooks,"Alert on the conditions that matter — failed or missed daily run, regulator staleness beyond threshold, integrity violation, elevated tool error rate — each with a runbook.","Every alert has an owner, severity and runbook; alerts tested by injecting each condition; no alert without a documented response",3,Backend Engineer,Not Started,Integrity check already exits non-zero on violations
REG-1005,E13,"Production Integration, Security & Operations",Sprint 9,CI/CD pipeline with automated quality gates,"Automate build, test and deployment: full test suite and foundation gate on every change, image build and scan, staged deployment with rollback.",No manual deployment steps; pipeline blocks on failing tests or critical vulnerabilities; rollback exercised successfully at least once,5,Full-stack Engineer,Not Started,92-test suite + foundation gate ready to wire
REG-1006,E13,"Production Integration, Security & Operations",Sprint 10,Security review and hardening,"Complete pre-production security work: TLS everywhere, no default credentials, least-privilege IAM and bucket policies, dependency and image scanning, remediation of review findings.",Security review passed with no open high findings; default credentials eliminated; egress allow-list covers regulator domains; findings tracked to closure,8,Backend Engineer,Not Started,MANDATORY gate before exposure beyond localhost
REG-1007,E12,"Scale & Performance (100 → 5,000 users)",Sprint 8,Cost model and optimisation,"Model steady-state cost (compute, RDS, S3 storage and requests, egress) at 5,000 users and apply the obvious optimisations; set budget alarms.",Cost per month projected with assumptions stated; S3 lifecycle tiering applied to archive; budget alarm configured; unit cost per user reported,3,Backend Engineer,Not Started,
REG-1008,E13,"Production Integration, Security & Operations",Sprint 10,Production cutover and hypercare,"Execute the cutover: final data sync, DNS/route switch, agent repointed to production tools, decommission of the interim environment, and a defined hypercare period.",Cutover run to a rehearsed plan with rollback available; no data loss verified by count and checksum; hypercare issues triaged daily; interim environment retired,5,Full-stack Engineer,Not Started,
REG-1009,E13,"Production Integration, Security & Operations",Sprint 10,BA: production acceptance and go-live sign-off,Run acceptance against production with real users and obtain formal go-live approval.,Acceptance script executed in production; defects dispositioned; signed go-live approval recorded,2,Business Analyst,Not Started,
PM-S9,E13,"Production Integration, Security & Operations",Sprint 9,"PM: sprint ceremonies, security & integration coordination","Readiness review, cutover coordination, hypercare tracking and project closure.",Go/no-go held with documented decision; cutover coordinated; closure report issued,0,Project Manager,Not Started,Recurring
PM-S10,E13,"Production Integration, Security & Operations",Sprint 10,PM: hypercare tracking and project closure,"Final sprint PM allocation: cutover coordination, hypercare triage, closure report and handover.",Hypercare issues triaged daily; closure report issued; handover acknowledged,0,Project Manager,Not Started,Recurring
REG-701,E10,Future Enhancements (Backlog),Backlog,Federal Register full text via govinfo.gov bulk data,Replace abstract/stub fallback with sanctioned full text from GPO govinfo bulk repository (separate host built for programmatic bulk use).,Full text for new FR docs; existing stubs self-heal to full text as revisions; no ToS risk,5,AI Engineer,Not Started,Roadmap #1; adapter pattern ready
REG-702,E10,Future Enhancements (Backlog),Backlog,Simple-mode overview landing page,"First-time-user landing: one plain-English headline, ≤4 tiles, one regulator×(web/PDF/today delta/health-dot) table; ops detail moves behind drill-ins; analyst vs operator modes.",New user answers 'what do we have / what changed today / is it healthy' in <10s without training,5,Full-stack Engineer,Not Started,UX proposal documented
REG-703,E10,Future Enhancements (Backlog),Backlog,Playwright fetch path for JS-heavy sites,"Browser-rendered fetching for regulators whose listings require JavaScript (MAS, some NYDFS).",fetch:playwright configs ingest content where plain HTTP yields none,5,AI Engineer,Not Started,Config field already parses
REG-704,E10,Future Enhancements (Backlog),Backlog,PostgreSQL migration,Flip db.type to Postgres using the shipped DDL; enable pg_trgm for title-similarity reference resolution.,All tests green on Postgres; no write-lock contention during concurrent crawl+agent load,3,Backend Engineer,Not Started,DDL ready
REG-705,E10,Future Enhancements (Backlog),Backlog,Expected inventories for EBA / FCA / APRA,Extend completeness proofs beyond OSFI using each regulator's official register/index.,Per-series present/missing for 3 more regulators; gaps drive targeted gap-fills,3,AI Engineer,Not Started,
REG-706,E10,Future Enhancements (Backlog),Backlog,Weekly digest webhook,Teams/email digest generated from the changes feed (per-desk filters).,Scheduled digest delivered with citations; opt-in filters per audience,3,Backend Engineer,Not Started,Spec FR-9
REG-707,E10,Future Enhancements (Backlog),Backlog,AMF Québec access via official whitelisting,Engage AMF for institutional IP/UA whitelisting (site bot-blocks all automation); fallback: licensed feed.,AMF collecting via sanctioned access; zero evasion techniques used,2,Business Analyst,Not Started,Escalated; contact pending
REG-708,E10,Future Enhancements (Backlog),Backlog,Production hardening,"Pre-exposure hardening: replace default admin credentials, TLS/reverse proxy, restricted bind, secrets management, key rotation SOP.",Security checklist passed before any non-localhost exposure,5,Backend Engineer,Not Started,MANDATORY before deployment beyond localhost
REG-709,E10,Future Enhancements (Backlog),Backlog,OCR for scanned policy PDFs,"Tesseract path for image-only PDFs (currently 6 docs, 97% extract fine without).",ocr:true docs gain searchable text; volume-triggered (revisit if scanned share grows),3,AI Engineer,Not Started,Deprioritized by owner 2026-08-04
REG-710,E10,Future Enhancements (Backlog),Backlog,LLM enrichment integration,"Wire the owner's LLM gateway into the enrichment slot: real summaries (summary.md), taxonomy topic tags, doc-type reclassification, date/deadline extraction; golden-set eval gates.",Summaries replace excerpts; doc_type distribution reflects reality (not 90% announcement); deadline feed populated; eval ≥90% tagging accuracy,8,AI Engineer,Not Started,MockLLM slot + eval harness pattern in place
